月份,车型,销量,厂商,售价区间,车型链接,图片链接
202301,宝马i3,3624,华晨宝马,35.39 - 41.39,https://xl.16888.com/s/129433/,https://i.img16888.com/picLib/2022/04/2022042111181287043_240.jpg
202301,哪吒V,3487,合众汽车,7.99 - 12.38,https://xl.16888.com/s/129002/,https://i.img16888.com/picLib/2022/05/2022051102532969999_240.jpg
202301,smart精灵#1,3170,smart,15.49 - 28.49,https://xl.16888.com/s/129576/,https://i.img16888.com/picLib/2022/06/2022062306564227186_240.jpg
202301,极氪001,3116,极氪,25.90 - 32.90,https://xl.16888.com/s/129130/,https://i3.img16888.com/picLib/2021/04/2021041611215519373_240.jpg
202301,QQ冰淇淋,2736,奇瑞新能源,2.99 - 5.69,https://xl.16888.com/s/129245/,https://i.img16888.com/picLib/2021/08/2021082605332292213_240.jpg
202301,问界M5,2732,AITO 问界,22.98 - 27.98,https://xl.16888.com/s/129407/,https://i3.img16888.com/picLib/2022/02/2022022106475629393_240.jpg
202301,秦新能源,2595,比亚迪,16.88 - 16.88,https://xl.16888.com/s/128198/,https://i3.img16888.com/picLib/2019/09/2019091803110544470_240.jpg
202301,宝马iX3,2263,华晨宝马,40.50 - 44.50,https://xl.16888.com/s/128978/,https://i.img16888.com/picLib/2021/01/2021012209122149549_240.jpg
202301,小鹏G9,2249,小鹏汽车,24.88 - 35.99,https://xl.16888.com/s/129400/,https://i3.img16888.com/picLib/2022/09/2022091504061283908_240.jpg
202301,帝豪新能源,2044,吉利新能源,13.58 - 16.18,https://xl.16888.com/s/127691/,https://i3.img16888.com/picLib/2017/03/2017032303233992053_240.jpg
202301,奔驰E级新能源,1878,北京奔驰,52.19 - 53.86,https://xl.16888.com/s/128751/,https://i2.img16888.com/picLib/2019/12/2019122704550856724_240.jpg
202301,问界M7,1737,AITO 问界,24.98 - 32.98,https://xl.16888.com/s/129587/,https://i.img16888.com/picLib/2022/06/2022062711392436726_240.jpg
202301,北京EU5,1725,北京汽车,12.99 - 17.19,https://xl.16888.com/s/128299/,https://i3.img16888.com/picLib/2019/11/2019111103110950102_240.jpg
202301,大众ID.3,1614,上汽大众,12.99 - 18.09,https://xl.16888.com/s/129301/,https://i3.img16888.com/picLib/2023/05/2023050903443774482_240.jpg
202301,哈弗H6新能源,1596,长城汽车,15.98 - 17.38,https://xl.16888.com/s/129695/,https://i2.img16888.com/picLib/2023/05/2023050810591465380_240.jpg
202301,吉利几何A,1563,吉利几何,14.38 - 20.78,https://xl.16888.com/s/128369/,https://i.img16888.com/picLib/2019/07/2019070504382512475_240.jpg
202301,吉利几何E萤火虫,1522,吉利几何,5.98 - 8.98,https://xl.16888.com/s/129442/,https://i2.img16888.com/picLib/2022/10/2022102004325133716_240.jpg
202301,哪吒S,1517,合众汽车,15.48 - 22.48,https://xl.16888.com/s/129243/,https://i.img16888.com/picLib/2022/10/2022103103505761259_240.jpg
202301,骏行,1500,国金汽车,15.98 - 15.98,https://xl.16888.com/s/129618/,
202301,迈腾GTE插电混动,1490,一汽-大众,23.79 - 25.29,https://xl.16888.com/s/128747/,
202301,阿维塔11,1415,阿维塔科技,27.99 - 42.99,https://xl.16888.com/s/129626/,
202301,启辰D60EV,1406,东风日产,12.98 - 17.88,https://xl.16888.com/s/128626/,
202301,小鹏P5,1389,小鹏汽车,15.69 - 18.89,https://xl.16888.com/s/129134/,
202301,红旗E-HS9,1348,一汽红旗,50.98 - 77.98,https://xl.16888.com/s/128953/,
202301,东风风神E70,1323,东风乘用车,14.28 - 15.38,https://xl.16888.com/s/127868/,
202301,欧拉闪电猫,1283,长城新能源,18.98 - 27.28,https://xl.16888.com/s/129133/,https://i.img16888.com/picLib/2021/05/2021051005043966445_240.jpg
202301,宝马5系新能源,1249,华晨宝马,49.99 - 54.65,https://xl.16888.com/s/127997/,
202301,逸动新能源,1182,长安汽车,14.99 - 14.99,https://xl.16888.com/s/127732/,
202301,欧拉好猫,1148,长城新能源,10.58 - 13.58,https://xl.16888.com/s/128954/,
202301,上汽大通MAXUS EUNIQ 5,37,上汽大通,16.58 - 21.28,https://xl.16888.com/s/128501/,https://i3.img16888.com/picLib/2019/11/2019112909593450301_240.jpg
202301,菱智M5EV,37,东风风行,14.99 - 19.69,https://xl.16888.com/s/128231/,https://i3.img16888.com/picLib/2019/05/2019051704360857053_240.jpg
202301,奔驰EQC,26,北京奔驰,49.19 - 57.98,https://xl.16888.com/s/128206/,https://i3.img16888.com/picLib/2019/12/2019121302483376802_240.jpg
202301,爱驰U5,22,爱驰汽车,16.69 - 24.99,https://xl.16888.com/s/128285/,https://i3.img16888.com/picLib/2021/03/2021032902405451375_240.jpg
202301,丰田C-HR EV,21,广汽丰田,22.58 - 24.98,https://xl.16888.com/s/128758/,https://i2.img16888.com/picLib/2020/04/2020042202260671591_240.jpg
202301,名爵6新能源,20,上汽集团,14.58 - 19.98,https://xl.16888.com/s/128014/,https://i.img16888.com/picLib/2018/04/2018040910382976581_240.jpg
202301,捷途X70S EV,19,奇瑞汽车,16.98 - 17.98,https://xl.16888.com/s/128627/,https://i.img16888.com/picLib/2020/03/2020031103514693005_240.jpg
202301,炫界Pro EV,18,凯翼汽车,11.99 - 17.66,https://xl.16888.com/s/129306/,https://i2.img16888.com/picLib/2023/05/2023051111514823649_240.jpg
202301,奕泽E进擎,17,一汽丰田,22.58 - 25.38,https://xl.16888.com/s/128757/,https://i.img16888.com/picLib/2020/06/2020060210492994033_240.jpg
202301,奥迪e-tron,15,一汽-大众奥迪,54.68 - 64.88,https://xl.16888.com/s/128897/,https://i2.img16888.com/picLib/2021/05/2021051711212778660_240.jpg
202301,魏牌 拿铁DHT,15,长城汽车,17.98 - 18.98,https://xl.16888.com/s/129157/,https://i3.img16888.com/picLib/2021/05/2021051311305045139_240.jpg
202301,瑞风E3,10,江汽集团,13.99 - 20.88,https://xl.16888.com/s/129581/,https://i2.img16888.com/picLib/2022/06/2022062805373176178_240.jpg
202301,绎乐,10,广汽本田新能源,16.78 - 18.98,https://xl.16888.com/s/129097/,https://i3.img16888.com/picLib/2021/03/2021030310574994047_240.jpg
202301,奥迪Q2L e-tron,10,一汽-大众奥迪,24.38 - 24.38,https://xl.16888.com/s/128744/,https://i.img16888.com/picLib/2019/11/2019112104190551105_240.jpg
202301,广汽本田VE-1,10,广汽本田,15.98 - 18.68,https://xl.16888.com/s/128273/,https://i2.img16888.com/picLib/2019/11/2019110403032820685_240.jpg
202301,嘉际新能源,9,吉利新能源,14.58 - 16.88,https://xl.16888.com/s/128402/,https://i.img16888.com/picLib/2020/02/2020022806044580765_240.jpg
202301,马自达CX-30 EV,9,长安马自达,15.98 - 20.18,https://xl.16888.com/s/129316/,https://i2.img16888.com/picLib/2023/05/2023050903365119809_240.jpg
202301,广汽丰田iA5,8,广汽丰田新能源,15.98 - 19.28,https://xl.16888.com/s/128629/,https://i2.img16888.com/picLib/2019/12/2019121209082417862_240.jpg
202301,爱驰U6,7,爱驰汽车,21.99 - 23.79,https://xl.16888.com/s/128836/,https://i.img16888.com/picLib/2021/07/2021072303191710017_240.jpg
202301,冒险家新能源,7,长安林肯,30.98 - 34.58,https://xl.16888.com/s/129249/,https://i3.img16888.com/picLib/2023/05/2023053111473371155_240.jpg
202301,Aion LX,6,广汽埃安,28.66 - 46.96,https://xl.16888.com/s/128584/,https://i2.img16888.com/picLib/2019/09/2019090605505856502_240.jpg
202301,微蓝7,6,上汽通用别克,19.78 - 21.78,https://xl.16888.com/s/128811/,https://i2.img16888.com/picLib/2020/10/2020102103415224608_240.jpg
202301,雷凌双擎E+,5,广汽丰田,20.38 - 21.88,https://xl.16888.com/s/128401/,https://i2.img16888.com/picLib/2019/04/2019040909420970021_240.jpg
202301,阿图柯AIRTREK,5,广汽三菱,19.98 - 22.98,https://xl.16888.com/s/129360/,
202301,合创007,4,合创汽车,25.98 - 27.98,https://xl.16888.com/s/128795/,https://i.img16888.com/picLib/2020/02/2020021902400976970_240.jpg
202301,福特电马,3,长安福特,23.98 - 36.99,https://xl.16888.com/s/128971/,https://i.img16888.com/picLib/2021/04/2021041509513312386_240.jpg
202301,DS 9新能源,2,DS汽车,32.99 - 39.99,https://xl.16888.com/s/128832/,https://i2.img16888.com/picLib/2021/05/2021051703130560685_240.jpg
202301,启辰T60EV,2,东风日产,16.38 - 18.98,https://xl.16888.com/s/128769/,https://i.img16888.com/picLib/2019/12/2019121104504279370_240.jpg
202301,天逸 C5 AIRCROSS新能源,1,东风雪铁龙,23.17 - 26.47,https://xl.16888.com/s/128913/,https://i3.img16888.com/picLib/2023/05/2023050905105247969_240.jpg
202301,标致4008新能源,1,东风标致,24.97 - 25.97,https://xl.16888.com/s/128956/,https://i2.img16888.com/picLib/2020/08/2020082405232142310_240.jpg
202301,奔腾E01,1,一汽奔腾,19.68 - 22.88,https://xl.16888.com/s/128964/,
202301,长安欧尚A600EV,1,长安汽车,14.98 - 14.98,https://xl.16888.com/s/128682/,
202301,上汽大通MAXUS EUNIQ 6,1,上汽大通,15.98 - 20.28,https://xl.16888.com/s/129183/,
202303,Model Y,54937,特斯拉中国,26.35 - 31.35,https://xl.16888.com/s/129112/,https://i3.img16888.com/picLib/2021/03/2021033109375237701_240.jpg
202303,秦PLUS,40215,比亚迪,7.98 - 17.98,https://xl.16888.com/s/129054/,https://i.img16888.com/picLib/2021/03/2021031111162675446_240.jpg
202303,宋PLUS新能源,30088,比亚迪,13.58 - 18.08,https://xl.16888.com/s/128912/,https://i2.img16888.com/picLib/2024/02/2024022905545780999_240.jpg
202303,元PLUS,27907,比亚迪,11.58 - 14.78,https://xl.16888.com/s/129234/,https://i.img16888.com/picLib/2023/05/2023050904182739822_240.jpg
202303,海豚,27687,比亚迪,9.98 - 12.98,https://xl.16888.com/s/129217/,https://i2.img16888.com/picLib/2021/07/2021070210350347809_240.jpg
202303,宏光MINIEV,23159,上汽通用五菱,3.28 - 9.99,https://xl.16888.com/s/128864/,https://i.img16888.com/picLib/2020/08/2020081410475359342_240.jpg
202303,Model 3,21726,特斯拉中国,23.19 - 33.95,https://xl.16888.com/s/128722/,https://i3.img16888.com/picLib/2020/06/2020062802411149968_240.jpg
202303,汉,13834,比亚迪,16.58 - 25.98,https://xl.16888.com/s/128787/,https://i3.img16888.com/picLib/2020/08/2020082003421969751_240.jpg
202303,AION Y,13267,广汽埃安,9.98 - 18.98,https://xl.16888.com/s/129064/,https://i2.img16888.com/picLib/2021/02/2021022209523483671_240.jpg
202303,唐新能源,11954,比亚迪,17.98 - 26.98,https://xl.16888.com/s/126549/,https://i.img16888.com/picLib/2019/03/2019032601545029527_240.jpg
202303,腾势D9,10398,腾势汽车,33.98 - 66.00,https://xl.16888.com/s/129515/,https://i.img16888.com/picLib/2022/10/2022102004563412102_240.jpg
202303,长安Lumin,10217,长安汽车,3.79 - 6.59,https://xl.16888.com/s/129444/,https://i.img16888.com/picLib/2022/10/2022102004174394459_240.jpg
202303,宋Pro新能源,10026,比亚迪,10.28 - 14.28,https://xl.16888.com/s/128490/,https://i3.img16888.com/picLib/2024/10/2024101502142055820_240.jpg
202303,北京EU5,8135,北京汽车,12.99 - 17.19,https://xl.16888.com/s/128299/,https://i3.img16888.com/picLib/2019/11/2019111103110950102_240.jpg
202303,理想L7,7702,理想,30.18 - 35.98,https://xl.16888.com/s/129696/,https://i.img16888.com/picLib/2022/10/2022101404434715129_240.jpg
202303,护卫舰07,6455,比亚迪,17.98 - 25.98,https://xl.16888.com/s/129637/,https://i.img16888.com/picLib/2022/10/2022102605580197156_240.jpg
202303,蔚来ET5,6437,蔚来,29.80 - 35.60,https://xl.16888.com/s/129364/,https://i.img16888.com/picLib/2022/12/2022120502094649796_240.jpg
202303,理想L8,6224,理想,32.18 - 39.98,https://xl.16888.com/s/129689/,https://i2.img16888.com/picLib/2022/10/2022101404482395091_240.jpg
202303,smart精灵#1,5911,smart,15.49 - 28.49,https://xl.16888.com/s/129576/,https://i.img16888.com/picLib/2022/06/2022062306564227186_240.jpg
202303,理想L9,5831,理想,42.98 - 45.98,https://xl.16888.com/s/129589/,https://i.img16888.com/picLib/2022/06/2022062211313699372_240.jpg
202303,海豹,5201,比亚迪,14.98 - 24.98,https://xl.16888.com/s/129445/,https://i.img16888.com/picLib/2022/05/2022051806341027359_240.jpg
202303,极氪001,4517,极氪,25.90 - 32.90,https://xl.16888.com/s/129130/,https://i3.img16888.com/picLib/2021/04/2021041611215519373_240.jpg
202303,驱逐舰05,4136,比亚迪,7.98 - 13.68,https://xl.16888.com/s/129403/,https://i.img16888.com/picLib/2022/05/2022051806261162436_240.jpg
202303,欧拉好猫,3970,长城新能源,10.58 - 13.58,https://xl.16888.com/s/128954/,https://i.img16888.com/picLib/2020/12/2020120810295851555_240.jpg
202303,QQ冰淇淋,3951,奇瑞新能源,2.99 - 5.69,https://xl.16888.com/s/129245/,https://i.img16888.com/picLib/2021/08/2021082605332292213_240.jpg
202303,宝马iX3,3864,华晨宝马,40.50 - 44.50,https://xl.16888.com/s/128978/,https://i.img16888.com/picLib/2021/01/2021012209122149549_240.jpg
202303,五菱缤果,3311,上汽通用五菱,5.68 - 8.88,https://xl.16888.com/s/129783/,https://i.img16888.com/picLib/2023/04/2023040310231159780_240.jpg
202303,零跑C11,3154,零跑汽车,14.88 - 20.98,https://xl.16888.com/s/129063/,https://i2.img16888.com/picLib/2020/12/2020122311292973663_240.jpg
202303,宝马i3,3147,华晨宝马,35.39 - 41.39,https://xl.16888.com/s/129433/,https://i.img16888.com/picLib/2022/04/2022042111181287043_240.jpg
202303,红旗E-QM5,3136,一汽红旗,16.58 - 23.98,https://xl.16888.com/s/129210/,https://i.img16888.com/picLib/2021/06/2021062302514547464_240.jpg
202303,大众ID.3,3091,上汽大众,12.99 - 18.09,https://xl.16888.com/s/129301/,https://i3.img16888.com/picLib/2023/05/2023050903443774482_240.jpg
202303,哪吒U,3056,合众汽车,11.88 - 15.98,https://xl.16888.com/s/128441/,https://i3.img16888.com/picLib/2020/02/2020021903575038354_240.jpg
202303,小鹏P7,3030,小鹏汽车,20.99 - 33.99,https://xl.16888.com/s/128729/,https://i.img16888.com/picLib/2021/03/2021032909030112948_240.jpg
202303,秦新能源,3015,比亚迪,16.88 - 16.88,https://xl.16888.com/s/128198/,https://i3.img16888.com/picLib/2019/09/2019091803110544470_240.jpg
202303,帝豪新能源,2916,吉利新能源,13.58 - 16.18,https://xl.16888.com/s/127691/,https://i3.img16888.com/picLib/2017/03/2017032303233992053_240.jpg
202303,启辰D60EV,2743,东风日产,12.98 - 17.88,https://xl.16888.com/s/128626/,https://i.img16888.com/picLib/2019/09/2019091210503587575_240.jpg
202303,吉利几何A,2479,吉利几何,14.38 - 20.78,https://xl.16888.com/s/128369/,https://i.img16888.com/picLib/2019/07/2019070504382512475_240.jpg
202303,奔驰E级新能源,2373,北京奔驰,52.19 - 53.86,https://xl.16888.com/s/128751/,https://i2.img16888.com/picLib/2019/12/2019122704550856724_240.jpg
202303,问界M5,2292,AITO 问界,22.98 - 27.98,https://xl.16888.com/s/129407/,https://i3.img16888.com/picLib/2022/02/2022022106475629393_240.jpg
202303,ID.4 CROZZ,2260,一汽-大众,19.39 - 29.86,https://xl.16888.com/s/129061/,https://i.img16888.com/picLib/2021/03/2021030404500154028_240.jpg
202303,小鹏P5,2241,小鹏汽车,15.69 - 18.89,https://xl.16888.com/s/129134/,https://i3.img16888.com/picLib/2021/07/2021072304062225606_240.jpg
202303,阿维塔11,2221,阿维塔科技,27.99 - 42.99,https://xl.16888.com/s/129626/,https://i.img16888.com/picLib/2022/10/2022102603324666119_240.jpg
202303,哪吒S,2206,合众汽车,15.48 - 22.48,https://xl.16888.com/s/129243/,https://i.img16888.com/picLib/2022/10/2022103103505761259_240.jpg
202303,极氪009,2146,极氪,43.90 - 89.90,https://xl.16888.com/s/129629/,https://i.img16888.com/picLib/2022/10/2022102603382181824_240.jpg
202303,零跑T03,2100,零跑汽车,4.99 - 6.99,https://xl.16888.com/s/128803/,https://i3.img16888.com/picLib/2020/02/2020022403250477888_240.jpg
202303,智己LS7,1978,智己汽车,28.98 - 45.98,https://xl.16888.com/s/129755/,https://i3.img16888.com/picLib/2023/05/2023050605162661967_240.jpg
202303,奔腾NAT,1926,一汽奔腾,13.98 - 16.48,https://xl.16888.com/s/129174/,https://i3.img16888.com/picLib/2023/05/2023053111414011743_240.jpg
202303,小蚂蚁,1872,奇瑞新能源,5.99 - 7.69,https://xl.16888.com/s/127686/,https://i.img16888.com/picLib/2021/03/2021030902381666489_240.jpg
202303,一汽丰田bZ4X,1729,一汽丰田,19.98 - 28.48,https://xl.16888.com/s/129440/,https://i3.img16888.com/picLib/2022/05/2022052306513920080_240.jpg
202303,ID.4 X,1703,上汽大众,15.99 - 28.34,https://xl.16888.com/s/129086/,https://i.img16888.com/picLib/2021/04/2021042202224179294_240.jpg
202303,岚图梦想家,1656,岚图汽车,32.99 - 63.99,https://xl.16888.com/s/129359/,https://i.img16888.com/picLib/2022/06/2022062804065667884_240.jpg
202303,奥迪Q4 e-tron,1517,一汽-大众奥迪,28.99 - 36.71,https://xl.16888.com/s/129500/,https://i3.img16888.com/picLib/2022/06/2022061311411071600_240.jpg
202303,哈弗二代大狗新能源,1482,长城汽车,16.28 - 17.98,https://xl.16888.com/s/129824/,https://i.img16888.com/picLib/2023/05/2023050605521893549_240.jpg
202303,欧拉闪电猫,1347,长城新能源,18.98 - 27.28,https://xl.16888.com/s/129133/,https://i.img16888.com/picLib/2021/05/2021051005043966445_240.jpg
202303,迈腾GTE插电混动,1342,一汽-大众,23.79 - 25.29,https://xl.16888.com/s/128747/,https://i3.img16888.com/picLib/2019/12/2019122802501778988_240.jpg
202303,问界M7,1333,AITO 问界,24.98 - 32.98,https://xl.16888.com/s/129587/,https://i.img16888.com/picLib/2022/06/2022062711392436726_240.jpg
202303,极狐 阿尔法S(ARCFOX αS),1287,北汽新能源,18.98 - 32.98,https://xl.16888.com/s/128999/,https://i3.img16888.com/picLib/2021/04/2021041910080225684_240.jpg
202303,蔚来ES7,1267,蔚来,43.80 - 51.80,https://xl.16888.com/s/129585/,https://i3.img16888.com/picLib/2022/12/2022120501474530085_240.jpg
202303,新海狮EV,1209,鑫源汽车,13.98 - 19.28,https://xl.16888.com/s/129571/,https://i2.img16888.com//default-piclib-1024.jpg_240.jpg
202303,帕萨特新能源,1176,上汽大众,21.72 - 24.22,https://xl.16888.com/s/128252/,https://i.img16888.com/picLib/2019/02/2019022605144533548_240.jpg
202303,ID.6 CROZZ,1157,一汽-大众,25.89 - 33.69,https://xl.16888.com/s/129172/,https://i3.img16888.com/picLib/2021/05/2021051805481193714_240.jpg
202303,岚图FREE,1125,岚图汽车,22.89 - 26.69,https://xl.16888.com/s/129117/,https://i.img16888.com/picLib/2024/06/2024062502541821509_240.jpg
202303,荣威Ei5,1102,上汽集团,13.98 - 15.38,https://xl.16888.com/s/127904/,https://i2.img16888.com/picLib/2019/12/2019121301385779028_240.jpg
202303,哪吒V,1098,合众汽车,7.99 - 12.38,https://xl.16888.com/s/129002/,https://i.img16888.com/picLib/2022/05/2022051102532969999_240.jpg
202303,吉利几何E萤火虫,1092,吉利几何,5.98 - 8.98,https://xl.16888.com/s/129442/,https://i2.img16888.com/picLib/2022/10/2022102004325133716_240.jpg
202303,长安UNI-V 智电iDD,1068,长安汽车,11.49 - 15.99,https://xl.16888.com/s/129522/,https://i.img16888.com/picLib/2023/05/2023050802303752716_240.jpg
202303,理想ONE,1066,理想,33.80 - 33.80,https://xl.16888.com/s/128436/,https://i3.img16888.com/picLib/2019/04/2019041109402692077_240.gif
202303,魏牌 拿铁DHT-PHEV,1064,长城汽车,22.90 - 26.30,https://xl.16888.com/s/129604/,https://i.img16888.com/picLib/2022/10/2022102411460961623_240.jpg
202303,MG4 EV,1005,上汽集团,13.98 - 18.68,https://xl.16888.com/s/129582/,https://i2.img16888.com/picLib/2022/06/2022062805442277164_240.jpg
202303,骏行,1000,国金汽车,15.98 - 15.98,https://xl.16888.com/s/129618/,https://i.img16888.com//default-piclib-1024.jpg_240.jpg
202303,小鹏G9,972,小鹏汽车,24.88 - 35.99,https://xl.16888.com/s/129400/,https://i3.img16888.com/picLib/2022/09/2022091504061283908_240.jpg
202303,吉利几何C,923,吉利几何,12.98 - 20.78,https://xl.16888.com/s/128814/,https://i.img16888.com/picLib/2020/08/2020082505264887053_240.jpg
202303,悦虎,921,大运汽车,5.68 - 8.58,https://xl.16888.com/s/128810/,https://i2.img16888.com/picLib/2021/12/2021122204065469245_240.jpg
202303,零跑C01,918,零跑汽车,13.68 - 20.88,https://xl.16888.com/s/129481/,https://i2.img16888.com/picLib/2022/06/2022062705074479976_240.jpg
202303,枫叶60s,916,睿蓝汽车,9.98 - 16.38,https://xl.16888.com/s/129401/,https://i.img16888.com/picLib/2022/05/2022052306351454593_240.jpg
202303,皓影新能源,913,广汽本田,22.59 - 26.99,https://xl.16888.com/s/129119/,https://i3.img16888.com/picLib/2023/05/2023053001564363816_240.jpg
202303,本田e:NS1,883,东风本田,17.50 - 21.80,https://xl.16888.com/s/129457/,https://i3.img16888.com/picLib/2022/10/2022101104045327430_240.jpg
202303,极狐 阿尔法T(ARCFOX αT),880,北汽新能源,18.58 - 28.08,https://xl.16888.com/s/128880/,https://i3.img16888.com/picLib/2020/10/2020102603500161504_240.jpg
202303,蔚来ES6,853,蔚来,33.80 - 39.60,https://xl.16888.com/s/127934/,https://i.img16888.com/picLib/2019/07/2019072409075452928_240.jpg
202303,本田CR-V新能源,803,东风本田,22.59 - 26.99,https://xl.16888.com/s/129014/,https://i.img16888.com/picLib/2021/02/2021020304190329142_240.jpg
202303,欧尚Z6新能源,763,长安汽车,15.58 - 17.58,https://xl.16888.com/s/129591/,https://i2.img16888.com/picLib/2022/09/2022092804244675387_240.jpg
202303,小鹏G3,759,小鹏汽车,16.89 - 20.19,https://xl.16888.com/s/127961/,https://i2.img16888.com/picLib/2021/03/2021032909021783673_240.jpg
202303,蔚来ET7,738,蔚来,42.80 - 51.60,https://xl.16888.com/s/129084/,https://i2.img16888.com/picLib/2021/01/2021011310423989686_240.jpg
202303,蔚来EC6,734,蔚来,35.80 - 41.60,https://xl.16888.com/s/128852/,https://i.img16888.com/picLib/2020/04/2020041304093282657_240.jpg
202303,奔驰EQE,730,北京奔驰,47.80 - 62.70,https://xl.16888.com/s/128840/,https://i.img16888.com/picLib/2023/05/2023050905050416590_240.jpg
202303,凌宝BOX,702,吉麦新能源,3.98 - 6.88,https://xl.16888.com/s/128895/,https://i2.img16888.com/picLib/2020/05/2020051410112747249_240.jpg
202303,宋MAX新能源,675,比亚迪,14.78 - 17.48,https://xl.16888.com/s/128417/,https://i.img16888.com/picLib/2019/08/2019081503132525658_240.jpg
202303,领克09新能源,672,领克,28.99 - 36.29,https://xl.16888.com/s/129302/,https://i3.img16888.com/picLib/2023/05/2023050903415460314_240.jpg
202303,东风风神E70,639,东风乘用车,14.28 - 15.38,https://xl.16888.com/s/127868/,https://i2.img16888.com/picLib/2017/10/2017101005055963467_240.jpg
202303,宝骏KiWi EV,627,上汽通用五菱,7.78 - 11.38,https://xl.16888.com/s/129169/,https://i2.img16888.com/picLib/2021/05/2021051002031748182_240.jpg
202303,探岳GTE插电混动,620,一汽-大众,24.29 - 24.29,https://xl.16888.com/s/129055/,https://i.img16888.com/picLib/2021/06/2021060402061279096_240.jpg
202303,宝马5系新能源,618,华晨宝马,49.99 - 54.65,https://xl.16888.com/s/127997/,https://i3.img16888.com/picLib/2019/12/2019121302012187538_240.jpg
202303,畅巡,594,上汽通用雪佛兰,18.29 - 19.79,https://xl.16888.com/s/128721/,https://i.img16888.com/picLib/2019/12/2019123103401245613_240.jpg
202303,五菱Air ev晴空,592,上汽通用五菱,6.78 - 8.28,https://xl.16888.com/s/129575/,https://i.img16888.com/picLib/2022/06/2022062804320760649_240.jpg
202303,途观L新能源,587,上汽大众,26.11 - 27.21,https://xl.16888.com/s/128249/,https://i.img16888.com/picLib/2019/01/2019010210183081520_240.jpg
202303,e:NP1 极湃1,554,广汽本田,17.50 - 21.80,https://xl.16888.com/s/129586/,https://i2.img16888.com/picLib/2022/06/2022062711321864032_240.jpg
202303,东风本田M-NV,553,东风本田,14.98 - 15.98,https://xl.16888.com/s/129049/,https://i.img16888.com/picLib/2020/12/2020120403323659756_240.jpg
202303,菱智M5EV,547,东风风行,14.99 - 19.69,https://xl.16888.com/s/128231/,https://i3.img16888.com/picLib/2019/05/2019051704360857053_240.jpg
