车型,销量,厂商,售价区间,车型链接,图片链接
ID.4 CROZZ,4168,一汽-大众,19.39 - 29.86,https://xl.16888.com/s/129061/,
蔚来ES7,4154,蔚来,43.80 - 51.80,https://xl.16888.com/s/129585/,
小鹏G9,4020,小鹏汽车,24.88 - 35.99,https://xl.16888.com/s/129400/,
小蚂蚁,3972,奇瑞新能源,5.99 - 7.69,https://xl.16888.com/s/127686/,
问界M7,3957,AITO 问界,24.98 - 32.98,https://xl.16888.com/s/129587/,
零跑T03,3937,零跑汽车,4.99 - 6.99,https://xl.16888.com/s/128803/,
宝马i3,3821,华晨宝马,35.39 - 41.39,https://xl.16888.com/s/129433/,
欧拉好猫,3808,长城新能源,10.58 - 13.58,https://xl.16888.com/s/128954/,
花仙子,3794,江汽集团,5.99 - 9.09,https://xl.16888.com/s/129066/,
帝豪新能源,3753,吉利新能源,13.58 - 16.18,https://xl.16888.com/s/127691/,
ID.4 X,3608,上汽大众,15.99 - 28.34,https://xl.16888.com/s/129086/,
宝马iX3,3563,华晨宝马,40.50 - 44.50,https://xl.16888.com/s/128978/,
大众ID.3,3544,上汽大众,12.99 - 18.09,https://xl.16888.com/s/129301/,
广汽丰田bZ4X,3394,广汽丰田,19.98 - 28.78,https://xl.16888.com/s/129462/,
哪吒V,3323,合众汽车,7.99 - 12.38,https://xl.16888.com/s/129002/,
零跑C11,3320,零跑汽车,14.88 - 20.98,https://xl.16888.com/s/129063/,
枫叶80V,3288,睿蓝汽车,8.98 - 15.98,https://xl.16888.com/s/128970/,
秦新能源,3057,比亚迪,16.88 - 16.88,https://xl.16888.com/s/128198/,
欧拉闪电猫,3011,长城新能源,18.98 - 27.28,https://xl.16888.com/s/129133/,
小鹏P7,2969,小鹏汽车,20.99 - 33.99,https://xl.16888.com/s/128729/,
小鹏P5,2827,小鹏汽车,15.69 - 18.89,https://xl.16888.com/s/129134/,
哈弗H6新能源,2814,长城汽车,15.98 - 17.38,https://xl.16888.com/s/129695/,
风行S50EV,2809,东风风行,15.09 - 16.99,https://xl.16888.com/s/127908/,
逸动新能源,2677,长安汽车,14.99 - 14.99,https://xl.16888.com/s/127732/,
雷丁芒果,2658,雷丁,2.98 - 7.39,https://xl.16888.com/s/129156/,
合创Z03,2486,合创汽车,13.48 - 18.28,https://xl.16888.com/s/129294/,
哪吒U,2469,合众汽车,11.88 - 15.98,https://xl.16888.com/s/128441/,
炫界Pro EV,2460,凯翼汽车,11.99 - 17.66,https://xl.16888.com/s/129306/,
宝骏KiWi EV,2422,上汽通用五菱,7.78 - 11.38,https://xl.16888.com/s/129169/,
荣威RX5新能源,2391,上汽集团,14.79 - 16.98,https://xl.16888.com/s/127388/,
欧尚Z6新能源,2353,长安汽车,15.58 - 17.58,https://xl.16888.com/s/129591/,
吉利几何C,2026,吉利几何,12.98 - 20.78,https://xl.16888.com/s/128814/,
创维EV6,2018,创维汽车,10.98 - 32.98,https://xl.16888.com/s/129223/,
哪吒S,2003,合众汽车,15.48 - 22.48,https://xl.16888.com/s/129243/,
吉利几何M6,1972,吉利几何,14.98 - 18.98,https://xl.16888.com/s/129700/,
飞凡MARVEL R,1952,上汽集团,21.98 - 25.98,https://xl.16888.com/s/129342/,
奥迪Q4 e-tron,1842,一汽-大众奥迪,28.99 - 36.71,https://xl.16888.com/s/129500/,
凌宝BOX,1836,吉麦新能源,3.98 - 6.88,https://xl.16888.com/s/128895/,
护卫舰07,1805,比亚迪,17.98 - 25.98,https://xl.16888.com/s/129637/,
红旗E-HS9,1804,一汽红旗,50.98 - 77.98,https://xl.16888.com/s/128953/,
蔚来ES6,1731,蔚来,33.80 - 39.60,https://xl.16888.com/s/127934/,
AION V,1727,广汽埃安,12.98 - 19.36,https://xl.16888.com/s/128866/,
悦虎,1678,大运汽车,5.68 - 8.58,https://xl.16888.com/s/128810/,
福特电马,1535,长安福特,23.98 - 36.99,https://xl.16888.com/s/128971/,
小鹏G3,1476,小鹏汽车,16.89 - 20.19,https://xl.16888.com/s/127961/,
蔚来ET7,1379,蔚来,42.80 - 51.60,https://xl.16888.com/s/129084/,
飞凡R7,1365,上汽集团,18.99 - 38.99,https://xl.16888.com/s/129449/,
ID.6 CROZZ,1321,一汽-大众,25.89 - 33.69,https://xl.16888.com/s/129172/,
吉利几何G6,1315,吉利几何,11.98 - 18.58,https://xl.16888.com/s/129633/,
奔驰E级新能源,1254,北京奔驰,52.19 - 53.86,https://xl.16888.com/s/128751/,
本田e:NS1,1232,东风本田,17.50 - 21.80,https://xl.16888.com/s/129457/,
岚图梦想家,1225,岚图汽车,32.99 - 63.99,https://xl.16888.com/s/129359/,
零跑C01,1194,零跑汽车,13.68 - 20.88,https://xl.16888.com/s/129481/,
艾瑞泽e,1156,奇瑞新能源,15.24 - 15.78,https://xl.16888.com/s/128603/,
领克09新能源,1119,领克,28.99 - 36.29,https://xl.16888.com/s/129302/,
魏牌 拿铁DHT-PHEV,1064,长城汽车,22.90 - 26.30,https://xl.16888.com/s/129604/,
畅巡,1061,上汽通用雪佛兰,18.29 - 19.79,https://xl.16888.com/s/128721/,
宋MAX新能源,1029,比亚迪,14.78 - 17.48,https://xl.16888.com/s/128417/,
ID.6 X,1003,上汽大众,25.99 - 33.89,https://xl.16888.com/s/129136/,
元宝,975,北京汽车制造厂,2.97 - 5.19,https://xl.16888.com/s/129527/,
一汽丰田bZ4X,949,一汽丰田,19.98 - 28.48,https://xl.16888.com/s/129440/,
羿,895,江铃集团新能源,11.88 - 19.98,https://xl.16888.com/s/129310/,
星越L增程电动版,826,吉利汽车,23.97 - 25.37,https://xl.16888.com/s/129707/,
沃尔沃XC60新能源,765,沃尔沃亚太,52.39 - 60.39,https://xl.16888.com/s/128331/,
阿维塔11,757,阿维塔科技,27.99 - 42.99,https://xl.16888.com/s/129626/,
IQ锐歌,725,上汽通用凯迪拉克,29.77 - 41.97,https://xl.16888.com/s/129523/,
YOUNG光小新,719,电动屋,6.58 - 8.48,https://xl.16888.com/s/129262/,
易至EV3,690,江铃集团新能源,5.28 - 6.68,https://xl.16888.com/s/128413/,
宝马5系新能源,685,华晨宝马,49.99 - 54.65,https://xl.16888.com/s/127997/,
上汽大通MAXUS EUNIQ 5,590,上汽大通,16.58 - 21.28,https://xl.16888.com/s/128501/,
思皓爱跑,555,江汽集团,13.99 - 19.99,https://xl.16888.com/s/129613/,
e:NP1 极湃1,550,广汽本田,17.50 - 21.80,https://xl.16888.com/s/129586/,
长安UNI-K 智电iDD,547,长安汽车,18.79 - 21.59,https://xl.16888.com/s/129266/,
蔚来ES8,538,蔚来,49.80 - 59.80,https://xl.16888.com/s/127767/,
岚图FREE,482,岚图汽车,22.89 - 26.69,https://xl.16888.com/s/129117/,
沃尔沃XC40新能源,479,沃尔沃亚太,27.99 - 32.20,https://xl.16888.com/s/129016/,
富康ES600,465,东风新能源,15.38 - 16.38,https://xl.16888.com/s/129518/,
理想ONE,462,理想,33.80 - 33.80,https://xl.16888.com/s/128436/,
奔驰EQE,443,北京奔驰,47.80 - 62.70,https://xl.16888.com/s/128840/,
帕萨特新能源,443,上汽大众,21.72 - 24.22,https://xl.16888.com/s/128252/,
小虎EV,425,小虎汽车,4.19 - 5.59,https://xl.16888.com/s/129368/,
大家9,420,上汽大通,25.99 - 44.99,https://xl.16888.com/s/129598/,
蔚来EC6,419,蔚来,35.80 - 41.60,https://xl.16888.com/s/128852/,
奔驰EQB,406,北京奔驰,35.20 - 42.80,https://xl.16888.com/s/128640/,
风光MINIEV,404,东风小康,3.26 - 5.91,https://xl.16888.com/s/129376/,
奔驰C级新能源,369,北京奔驰,40.88 - 41.06,https://xl.16888.com/s/129671/,
探岳GTE插电混动,360,一汽-大众,24.29 - 24.29,https://xl.16888.com/s/129055/,
远志M1,357,大运汽车,17.88 - 31.88,https://xl.16888.com/s/129042/,
沃尔沃S90插电式混动,352,沃尔沃亚太,49.99 - 61.39,https://xl.16888.com/s/128328/,
奥迪A6L新能源,334,一汽-大众奥迪,0.00 - 0.00,https://xl.16888.com/s/128135/,
奇瑞无界Pro,309,奇瑞新能源,7.99 - 11.59,https://xl.16888.com/s/129514/,
睿蓝9,306,睿蓝汽车,10.99 - 19.79,https://xl.16888.com/s/129732/,
爱驰U5,280,爱驰汽车,16.69 - 24.99,https://xl.16888.com/s/128285/,
魏牌 摩卡新能源,275,长城汽车,23.18 - 23.88,https://xl.16888.com/s/129220/,
小麒麟,274,江铃集团新能源,4.99 - 5.19,https://xl.16888.com/s/129717/,
沃尔沃C40,267,沃尔沃亚太,28.90 - 34.20,https://xl.16888.com/s/129402/,
智己L7,266,智己汽车,29.99 - 57.88,https://xl.16888.com/s/129160/,
荣威i6 MAX新能源,265,上汽集团,15.28 - 25.98,https://xl.16888.com/s/129168/,
领克06新能源,258,领克,13.68 - 15.68,https://xl.16888.com/s/128867/,
迈腾GTE插电混动,246,一汽-大众,23.79 - 25.29,https://xl.16888.com/s/128747/,
上汽大通MAXUS EUNIQ 6,243,上汽大通,15.98 - 20.28,https://xl.16888.com/s/129183/,
启辰T60EV,222,东风日产,16.38 - 18.98,https://xl.16888.com/s/128769/,
奔驰EQA,213,北京奔驰,32.20 - 32.20,https://xl.16888.com/s/128737/,
菱智M5EV,190,东风风行,14.99 - 19.69,https://xl.16888.com/s/128231/,
凌宝uni,188,吉麦新能源,2.98 - 4.18,https://xl.16888.com/s/129441/,
广汽丰田iA5,159,广汽丰田新能源,15.98 - 19.28,https://xl.16888.com/s/128629/,
天际ME5,146,天际汽车,13.88 - 16.99,https://xl.16888.com/s/129194/,
比亚迪e6,138,比亚迪,0.00 - 0.00,https://xl.16888.com/s/57330/,
Aion LX,137,广汽埃安,28.66 - 46.96,https://xl.16888.com/s/128584/,
Ariya艾睿雅,116,东风日产,19.99 - 28.29,https://xl.16888.com/s/129184/,
RAV4荣放双擎E+,110,一汽丰田,24.88 - 29.78,https://xl.16888.com/s/129161/,
欧拉芭蕾猫,108,长城新能源,14.98 - 17.98,https://xl.16888.com/s/129361/,
沃尔沃S60新能源,100,沃尔沃亚太,39.99 - 46.19,https://xl.16888.com/s/128327/,
奥迪Q5 e-tron,92,上汽奥迪,29.85 - 43.25,https://xl.16888.com/s/129404/,
途观L新能源,91,上汽大众,26.11 - 27.21,https://xl.16888.com/s/128249/,
冒险家新能源,63,长安林肯,30.98 - 34.58,https://xl.16888.com/s/129249/,
长安UNI-V 智电iDD,59,长安汽车,11.49 - 15.99,https://xl.16888.com/s/129522/,
威兰达新能源,53,广汽丰田,26.68 - 30.18,https://xl.16888.com/s/129078/,
荣威iMAX8新能源,51,上汽集团,19.99 - 35.98,https://xl.16888.com/s/129461/,
爱驰U6,47,爱驰汽车,21.99 - 23.79,https://xl.16888.com/s/128836/,
零跑S01,42,零跑汽车,11.99 - 15.09,https://xl.16888.com/s/128163/,
东风本田M-NV,41,东风本田,14.98 - 15.98,https://xl.16888.com/s/129049/,
揽胜极光新能源,37,奇瑞捷豹路虎,41.58 - 42.98,https://xl.16888.com/s/129315/,
卡罗拉双擎E+,34,一汽丰田,20.78 - 23.08,https://xl.16888.com/s/128378/,
瑞风E3,29,江汽集团,13.99 - 20.88,https://xl.16888.com/s/129581/,
名爵6新能源,27,上汽集团,14.58 - 19.98,https://xl.16888.com/s/128014/,
玛奇朵DHT-PHEV,21,长城汽车,17.88 - 18.98,https://xl.16888.com/s/129346/,
威马W6,20,威马汽车,16.98 - 23.98,https://xl.16888.com/s/129139/,
嘉际新能源,18,吉利新能源,14.58 - 16.88,https://xl.16888.com/s/128402/,
奔驰EQC,14,北京奔驰,49.19 - 57.98,https://xl.16888.com/s/128206/,
魏牌 拿铁DHT,12,长城汽车,17.98 - 18.98,https://xl.16888.com/s/129157/,
奥迪e-tron,11,一汽-大众奥迪,54.68 - 64.88,https://xl.16888.com/s/128897/,
广汽本田VE-1,11,广汽本田,15.98 - 18.68,https://xl.16888.com/s/128273/,
威马EX5,10,威马汽车,16.08 - 17.98,https://xl.16888.com/s/128029/,
斯派卡新能源,10,野马汽车,14.99 - 16.99,https://xl.16888.com/s/128890/,
大蚂蚁,9,奇瑞新能源,15.66 - 17.99,https://xl.16888.com/s/128965/,
马自达CX-30 EV,5,长安马自达,15.98 - 20.18,https://xl.16888.com/s/129316/,
合创007,4,合创汽车,25.98 - 27.98,https://xl.16888.com/s/128795/,
绎乐,4,广汽本田新能源,16.78 - 18.98,https://xl.16888.com/s/129097/,
皓影新能源,4,广汽本田,22.59 - 26.99,https://xl.16888.com/s/129119/,
阿图柯AIRTREK,3,广汽三菱,19.98 - 22.98,https://xl.16888.com/s/129360/,
锐际新能源,2,长安福特,20.80 - 20.80,https://xl.16888.com/s/129204/,
本田CR-V新能源,1,东风本田,22.59 - 26.99,https://xl.16888.com/s/129014/,
发现运动版新能源,1,奇瑞捷豹路虎,40.98 - 40.98,https://xl.16888.com/s/129023/,
