,0,1,2,3,4,5,6,7
25,126,路盛S1 EV160B,0,华泰新能源,0.00,0.00,/s/128309/,202101
26,127,欧尚EV,0,长安汽车,0.00,0.00,//price.16888.com/sr-128516.html,202101
27,128,启辰E30,0,东风日产,7.24,8.54,/s/128265/,202101
28,129,蒙迪欧新能源,0,长安福特,0.00,0.00,//price.16888.com/sr-128753.html,202101
29,130,起亚K5新能源,0,悦达起亚,22.28,23.98,/s/128151/,202101
30,131,名爵6新能源,0,上汽集团,14.58,19.98,//price.16888.com/sr-128437.html,202101
31,132,奔腾X40新能源,0,一汽奔腾,0.00,0.00,/s/128096/,202101
32,133,瑞虎e,0,奇瑞新能源,10.88,13.78,//price.16888.com/sr-127976.html,202101
0,151,奔腾X40新能源,0,一汽奔腾,0.00,0.00,//price.16888.com/sr-128305.html,202101
1,152,路盛S1 iEV360,0,华泰新能源,0.00,0.00,/s/128532/,202101
2,153,瑞虎e,0,奇瑞新能源,10.88,13.78,//price.16888.com/sr-128933.html,202101
3,154,枫叶30X,0,睿蓝汽车,6.88,9.58,/s/128230/,202101
4,155,力帆820EV,0,力帆汽车,0.00,0.00,//price.16888.com/sr-127725.html,202101
0,1,宏光MINIEV,20167,上汽通用五菱,3.28,9.99,//price.16888.com/sr-128864.html,202102
1,2,Model 3,13688,特斯拉中国,23.19,33.95,/s/128787/,202102
2,3,汉,10056,比亚迪,16.58,25.98,//price.16888.com/sr-127904.html,202102
3,4,荣威Ei5,6461,上汽集团,13.98,15.38,/s/128302/,202102
4,5,Model Y,4630,特斯拉中国,24.99,35.49,//price.16888.com/sr-128729.html,202102
5,6,欧拉黑猫,4561,长城新能源,8.48,9.98,/s/127934/,202102
6,7,小鹏P7,2818,小鹏汽车,20.99,33.99,//price.16888.com/sr-128978.html,202102
7,8,理想ONE,2300,理想,33.80,33.80,/s/128441/,202102
8,9,蔚来ES6,2252,蔚来,33.80,39.60,//price.16888.com/sr-127961.html,202102
9,10,宝马iX3,2159,华晨宝马,40.50,44.50,/s/127686/,202102
10,11,蔚来EC6,2038,蔚来,35.80,41.60,//price.16888.com/sr-128954.html,202102
11,12,哪吒U,2002,合众汽车,11.88,15.98,/s/128198/,202102
12,13,小鹏G3,1626,小鹏汽车,16.89,20.19,//price.16888.com/sr-126549.html,202102
13,14,蔚来ES8,1600,蔚来,49.80,59.80,/s/128029/,202102
14,15,小蚂蚁,1591,奇瑞新能源,5.99,7.69,//price.16888.com/sr-128252.html,202102
15,16,欧拉好猫,1534,长城新能源,10.58,13.58,/s/128814/,202102
16,17,欧拉白猫,1279,长城新能源,7.18,10.68,//price.16888.com/sr-128206.html,202102
17,18,秦新能源,1196,比亚迪,16.88,16.88,/s/128866/,202102
18,19,唐新能源,1169,比亚迪,17.98,26.98,//price.16888.com/sr-128578.html,202102
19,20,比亚迪D1,1166,比亚迪,16.08,16.98,/s/129049/,202102
20,21,威马EX5,992,威马汽车,16.08,17.98,//price.16888.com/sr-128803.html,202102
21,22,帕萨特新能源,639,上汽大众,23.32,24.22,/s/128065/,202102
22,23,迈腾GTE插电混动,546,一汽-大众,23.79,25.29,//price.16888.com/sr-128862.html,202102
23,24,吉利几何C,536,吉利几何,12.98,20.78,/s/128895/,202102
24,25,奔驰EQC,520,北京奔驰,49.19,57.98,//price.16888.com/sr-128135.html,202102
25,26,爱驰U5,518,爱驰汽车,16.69,24.99,/s/127691/,202102
26,27,AION V,503,广汽埃安,12.98,19.36,//price.16888.com/sr-128214.html,202102
27,28,比亚迪e2,479,比亚迪,8.98,14.78,/s/128402/,202102
28,29,名爵EZS纯电动,417,上汽集团,11.98,14.98,//price.16888.com/sr-128744.html,202102
29,30,东风本田M-NV,407,东风本田,14.98,15.98,/s/128953/,202102
30,31,零跑T03,371,零跑汽车,4.99,6.99,//price.16888.com/sr-128892.html,202102
31,32,广汽丰田iA5,370,广汽丰田新能源,15.98,19.28,/s/129061/,202102
32,33,元新能源,361,比亚迪,0.00,0.00,//price.16888.com/sr-127723.html,202102
0,51,缤越新能源,167,吉利新能源,11.98,13.58,//price.16888.com/sr-128486.html,202102
1,52,途观L新能源,153,上汽大众,26.11,27.21,/s/128810/,202102
2,53,悦虎,135,大运汽车,5.68,8.58,//price.16888.com/sr-128567.html,202102
3,54,腾势X,122,腾势汽车,28.98,35.78,/s/128757/,202102
4,55,国机智骏GX5,117,国机智骏,11.58,13.98,//price.16888.com/sr-128145.html,202102
5,56,奕泽E进擎,106,一汽丰田,22.58,25.38,/s/128401/,202102
6,57,领克01新能源,102,领克,19.97,22.78,//price.16888.com/sr-127732.html,202102
7,58,国机智骏GC1,102,国机智骏,7.38,8.38,/s/128721/,202102
8,59,雷凌双擎E+,100,广汽丰田,20.38,21.88,//price.16888.com/sr-128273.html,202102
9,60,逸动新能源,90,长安汽车,8.49,14.99,/s/128231/,202102
10,61,云度π3,89,云度新能源,11.98,14.48,//price.16888.com/sr-128413.html,202102
11,62,畅巡,87,上汽通用雪佛兰,18.29,19.79,/s/128922/,202102
12,63,广汽本田VE-1,86,广汽本田,15.98,18.68,//price.16888.com/sr-127815.html,202102
13,64,比亚迪e1,81,比亚迪,5.99,7.99,/s/128965/,202102
14,65,菱智M5EV,76,东风风行,14.99,19.69,//price.16888.com/sr-128152.html,202102
15,66,易至EV3,74,江铃集团新能源,5.28,6.68,/s/128758/,202102
16,67,沃尔沃XC40新能源,72,沃尔沃亚太,27.99,32.20,//price.16888.com/sr-128590.html,202102
17,68,飞凡ER6,69,上汽集团,15.58,20.08,/s/128553/,202102
18,69,艾瑞泽5e,66,奇瑞新能源,0.00,0.00,//price.16888.com/sr-128327.html,202102
19,70,宋MAX新能源,60,比亚迪,14.78,17.48,/s/128595/,202102
20,71,大蚂蚁,56,奇瑞新能源,15.66,17.99,//price.16888.com/sr-128653.html,202102
21,72,开瑞K60EV,48,开瑞汽车,19.88,20.88,/s/128628/,202102
22,73,海马爱尚EV,48,海马汽车,3.98,4.28,//price.16888.com/sr-128833.html,202102
23,74,丰田C-HR EV,47,广汽丰田,22.58,24.98,/s/128811/,202102
24,75,雷诺 e诺,41,东风雷诺,0.00,0.00,//price.16888.com/sr-128471.html,202102
25,76,江淮iEV,38,江淮汽车,9.45,9.45,/s/128755/,202102
26,77,领克03新能源,35,领克,17.67,19.67,//price.16888.com/sr-128809.html,202102
27,78,沃尔沃S60新能源,32,沃尔沃亚太,39.99,46.19,/s/128796/,202102
28,79,风光E3,32,东风小康,12.98,15.98,//price.16888.com/sr-128584.html,202102
29,80,朗逸纯电,31,上汽大众,14.89,14.89,/s/127868/,202102
30,81,思皓E20X,27,江淮大众,12.80,13.80,//price.16888.com/sr-127749.html,202102
31,82,比亚迪e3,27,比亚迪,15.48,15.58,/s/128830/,202102
32,83,领克02新能源,25,领克,18.27,19.77,//price.16888.com/sr-128719.html,202102
0,101,魏牌 VV7新能源,3,长城汽车,21.98,23.98,//price.16888.com/sr-128748.html,202102
1,102,风光E1,2,东风小康,6.18,7.38,/s/128689/,202102
2,103,宝来·纯电,1,一汽-大众,0.00,0.00,//price.16888.com/sr-128816.html,202102
3,104,海马6P,1,海马汽车,16.28,17.58,/s/127883/,202102
4,105,北汽新能源EU,1,北汽新能源,7.98,7.98,//price.16888.com/sr-128501.html,202102
5,106,上汽大通MAXUS EG10,1,上汽大通,29.93,41.68,/s/128141/,202102
6,107,上汽大通MAXUS EUNIQ 5,1,上汽大通,16.58,21.28,//price.16888.com/sr-128683.html,202102
7,108,启辰E30,1,东风日产,7.24,8.54,/s/128437/,202102
8,109,哪吒N01,0,合众汽车,6.68,13.98,//price.16888.com/sr-128596.html,202102
9,110,睿行ES30,0,长安凯程,6.68,6.98,/s/128913/,202102
10,111,长安CS15EV,0,长安汽车,8.98,9.88,//price.16888.com/sr-128151.html,202102
11,112,江淮iEVA60,0,江淮汽车,0.00,0.00,/s/128025/,202102
12,113,领动插电混动,0,北京现代,15.78,17.88,//price.16888.com/sr-128096.html,202102
13,114,北京EU5,0,北京汽车,12.99,17.19,/s/128369/,202102
14,115,天逸 C5 AIRCROSS新能源,0,东风雪铁龙,23.17,26.47,//price.16888.com/sr-129086.html,202102
15,116,奔腾B30EV,0,一汽奔腾,0.00,0.00,/s/128447/,202102
16,117,瑞虎3xe,0,奇瑞新能源,9.38,10.68,//price.16888.com/sr-128491.html,202102
17,118,江淮iEVA50,0,江淮汽车,12.98,14.55,/s/126973/,202102
18,119,帅客新能源,0,郑州日产,0.00,0.00,//price.16888.com/sr-128037.html,202102
19,120,途岳新能源,0,上汽大众,0.00,0.00,/s/128078/,202102
20,121,吉利几何A,0,吉利几何,14.38,20.78,//price.16888.com/sr-127363.html,202102
21,122,ID.4 X,0,上汽大众,15.99,28.34,/s/127487/,202102
22,123,荣威MARVEL X,0,上汽集团,0.00,0.00,//price.16888.com/sr-128188.html,202102
23,124,北京EX3,0,北京汽车,11.99,16.39,/s/128158/,202102
24,125,红旗E-HS3,0,一汽红旗,22.58,26.58,//price.16888.com/sr-127748.html,202102
25,126,轩逸·纯电,0,东风日产,23.80,25.40,/s/128305/,202102
26,127,众泰E200,0,众泰新能源,0.00,0.00,//price.16888.com/sr-128532.html,202102
27,128,易至EX5,0,江铃集团新能源,12.58,13.28,/s/128516/,202102
28,129,比亚迪e5,0,比亚迪,22.07,22.07,//price.16888.com/sr-128891.html,202102
0,1,宏光MINIEV,39745,上汽通用五菱,3.28,9.99,//price.16888.com/sr-128864.html,202103
1,2,Model 3,25327,特斯拉中国,23.19,33.95,/s/127904/,202103
2,3,荣威Ei5,14528,上汽集团,13.98,15.38,//price.16888.com/sr-128787.html,202103
3,4,汉,10323,比亚迪,16.58,25.98,/s/128302/,202103
4,5,Model Y,10151,特斯拉中国,24.99,35.49,//price.16888.com/sr-127686.html,202103
5,6,欧拉黑猫,8527,长城新能源,8.48,9.98,/s/128978/,202103
6,7,小蚂蚁,5310,奇瑞新能源,5.99,7.69,//price.16888.com/sr-128441.html,202103
7,8,理想ONE,4900,理想,33.80,33.80,/s/128729/,202103
8,9,宝马iX3,3519,华晨宝马,40.50,44.50,//price.16888.com/sr-128803.html,202103
9,10,哪吒U,3246,合众汽车,11.88,15.98,/s/129052/,202103
10,11,蔚来ES6,3164,蔚来,33.80,39.60,//price.16888.com/sr-128852.html,202103
11,12,小鹏P7,2855,小鹏汽车,20.99,33.99,/s/128576/,202103
12,13,零跑T03,2827,零跑汽车,4.99,6.99,//price.16888.com/sr-128747.html,202103
13,14,启辰D60EV,2800,东风日产,12.98,17.88,/s/126549/,202103
14,15,比亚迪D1,2796,比亚迪,16.08,16.98,//price.16888.com/sr-128252.html,202103
15,16,蔚来EC6,2649,蔚来,35.80,41.60,/s/127767/,202103
16,17,威马EX5,2482,威马汽车,16.08,17.98,//price.16888.com/sr-127961.html,202103
17,18,欧拉白猫,2406,长城新能源,7.18,10.68,/s/128862/,202103
18,19,迈腾GTE插电混动,2352,一汽-大众,23.79,25.29,//price.16888.com/sr-128866.html,202103
19,20,欧拉好猫,2116,长城新能源,10.58,13.58,/s/57330/,202103
20,21,唐新能源,1891,比亚迪,17.98,26.98,//price.16888.com/sr-128578.html,202103
21,22,帕萨特新能源,1786,上汽大众,23.32,24.22,/s/128065/,202103
22,23,秦新能源,1715,比亚迪,16.88,16.88,//price.16888.com/sr-128214.html,202103
23,24,蔚来ES8,1636,蔚来,49.80,59.80,/s/127691/,202103
24,25,小鹏G3,1568,小鹏汽车,16.89,20.19,//price.16888.com/sr-127868.html,202103
25,26,花仙子,1513,江汽集团,5.99,9.09,/s/128629/,202103
26,27,探岳GTE,1422,一汽-大众,0.00,0.00,//price.16888.com/sr-128133.html,202103
27,28,AION V,1205,广汽埃安,12.98,19.36,/s/128285/,202103
28,29,五菱荣光EV,1161,上汽通用五菱,10.88,11.88,//price.16888.com/sr-128151.html,202103
29,30,比亚迪e6,1030,比亚迪,0.00,0.00,/s/128206/,202103
30,31,比亚迪e2,1011,比亚迪,8.98,14.78,//price.16888.com/sr-128895.html,202103
31,32,吉利几何C,946,吉利几何,12.98,20.78,/s/127573/,202103
32,33,元新能源,926,比亚迪,0.00,0.00,//price.16888.com/sr-129049.html,202103
0,51,红旗E-HS9,501,一汽红旗,50.98,77.98,//price.16888.com/sr-128953.html,202103
1,52,奥迪Q2L e-tron,449,一汽-大众奥迪,24.38,24.38,/s/127865/,202103
2,53,云度π1,398,云度新能源,7.48,7.98,//price.16888.com/sr-128965.html,202103
3,54,大蚂蚁,380,奇瑞新能源,15.66,17.99,/s/127732/,202103
4,55,嘉际新能源,375,吉利新能源,14.58,16.88,//price.16888.com/sr-129061.html,202103
5,56,逸动新能源,373,长安汽车,8.49,14.99,/s/128145/,202103
6,57,ID.4 CROZZ,365,一汽-大众,19.39,29.86,//price.16888.com/sr-128786.html,202103
7,58,广汽本田VE-1,358,广汽本田,15.98,18.68,/s/128401/,202103
8,59,领克01新能源,307,领克,19.97,22.78,//price.16888.com/sr-128378.html,202103
9,60,宝骏E300,306,上汽通用五菱,0.00,0.00,/s/128702/,202103
10,61,缤越新能源,274,吉利新能源,11.98,13.58,//price.16888.com/sr-128231.html,202103
11,62,雷凌双擎E+,244,广汽丰田,20.38,21.88,/s/127866/,202103
12,63,卡罗拉双擎E+,227,一汽丰田,20.78,23.08,//price.16888.com/sr-128413.html,202103
13,64,领动插电混动,207,北京现代,15.78,17.88,/s/128721/,202103
14,65,国机智骏GC1,178,国机智骏,7.38,8.38,//price.16888.com/sr-128922.html,202103
15,66,菱智M5EV,173,东风风行,14.99,19.69,/s/128501/,202103
16,67,奕泽E进擎,172,一汽丰田,22.58,25.38,//price.16888.com/sr-127880.html,202103
17,68,云度π3,170,云度新能源,11.98,14.48,/s/128417/,202103
18,69,易至EV3,142,江铃集团新能源,5.28,6.68,//price.16888.com/sr-128025.html,202103
19,70,沃尔沃S60新能源,125,沃尔沃亚太,39.99,46.19,/s/128584/,202103
20,71,畅巡,124,上汽通用雪佛兰,18.29,19.79,//price.16888.com/sr-128553.html,202103
21,72,飞凡ER6,123,上汽集团,15.58,20.08,/s/127883/,202103
22,73,比亚迪e3,114,比亚迪,15.48,15.58,//price.16888.com/sr-128432.html,202103
23,74,上汽大通MAXUS EUNIQ 5,94,上汽大通,16.58,21.28,/s/127908/,202103
24,75,长安CS15EV,89,长安汽车,8.98,9.88,//price.16888.com/sr-128595.html,202103
25,76,风光E3,87,东风小康,12.98,15.98,/s/128426/,202103
26,77,宋MAX新能源,77,比亚迪,14.78,17.48,//price.16888.com/sr-128163.html,202103
27,78,江淮iEVA50,71,江淮汽车,12.98,14.55,/s/128833/,202103
28,79,星越新能源,70,吉利新能源,17.58,21.68,//price.16888.com/sr-127749.html,202103
29,80,Aion LX,70,广汽埃安,28.66,46.96,/s/128816/,202103
30,81,领克03新能源,64,领克,17.67,19.67,//price.16888.com/sr-128810.html,202103
31,82,标致e2008,63,东风标致,0.00,0.00,/s/128809/,202103
32,83,上汽大通MAXUS EG10,60,上汽大通,29.93,41.68,//price.16888.com/sr-129016.html,202103
0,101,易至EX5,17,江铃集团新能源,12.58,13.28,//price.16888.com/sr-128037.html,202103
1,102,天逸 C5 AIRCROSS新能源,12,东风雪铁龙,23.17,26.47,/s/128719/,202103
2,103,昂希诺纯电动,12,北京现代,17.28,19.88,//price.16888.com/sr-129131.html,202103
3,104,思皓E50A,11,江汽集团,14.59,18.98,/s/128755/,202103
4,105,红旗E-HS3,8,一汽红旗,22.58,26.58,//price.16888.com/sr-129019.html,202103
5,106,威马EX6,8,威马汽车,0.00,0.00,/s/127152/,202103
6,107,北京X7 PHEV,4,北京汽车,18.49,21.69,//price.16888.com/sr-128796.html,202103
7,108,魏牌 VV7新能源,4,长城汽车,21.98,23.98,/s/128590/,202103
8,109,北汽新能源EU,3,北汽新能源,7.98,7.98,//price.16888.com/sr-128689.html,202103
9,110,北汽EC100,3,北汽昌河,7.18,7.58,/s/128516/,202103
10,111,艾瑞泽5e,1,奇瑞新能源,0.00,0.00,//price.16888.com/sr-128891.html,202103
11,112,雷诺 e诺,1,东风雷诺,0.00,0.00,/s/128437/,202103
12,113,宝来·纯电,1,一汽-大众,0.00,0.00,//price.16888.com/sr-128683.html,202103
13,114,北汽新能源EC,1,北汽新能源,0.00,0.00,/s/127976/,202103
14,115,东风本田X-NV,0,东风本田,16.98,17.98,//price.16888.com/sr-128096.html,202103
15,116,启能GEV 1,0,新特汽车,0.00,0.00,/s/128182/,202103
16,117,哪吒N01,0,合众汽车,6.68,13.98,//price.16888.com/sr-129038.html,202103
17,118,江淮iEVA60,0,江淮汽车,0.00,0.00,/s/128653/,202103
18,119,睿行ES30,0,长安凯程,6.68,6.98,//price.16888.com/sr-128715.html,202103
19,120,北京EU5,0,北京汽车,12.99,17.19,/s/126973/,202103
20,121,瑞虎3xe,0,奇瑞新能源,9.38,10.68,//price.16888.com/sr-127290.html,202103
21,122,帅客新能源,0,郑州日产,0.00,0.00,/s/128078/,202103
22,123,江淮iEV,0,江淮汽车,9.45,9.45,//price.16888.com/sr-127487.html,202103
23,124,荣威MARVEL X,0,上汽集团,0.00,0.00,/s/128152/,202103
24,125,途岳新能源,0,上汽大众,0.00,0.00,//price.16888.com/sr-128830.html,202103
25,126,北京EX3,0,北京汽车,11.99,16.39,/s/128158/,202103
26,127,思皓E20X,0,江淮大众,12.80,13.80,//price.16888.com/sr-127694.html,202103
27,128,风光E1,0,东风小康,6.18,7.38,/s/128305/,202103
28,129,轩逸·纯电,0,东风日产,23.80,25.40,//price.16888.com/sr-126687.html,202103
29,130,众泰E200,0,众泰新能源,0.00,0.00,/s/128230/,202103
30,131,比亚迪e5,0,比亚迪,22.07,22.07,//price.16888.com/sr-128532.html,202103
0,1,宏光MINIEV,29251,上汽通用五菱,3.28,9.99,//price.16888.com/sr-128864.html,202104
1,2,Model 3,20438,特斯拉中国,23.19,33.95,/s/127904/,202104
2,3,荣威Ei5,10658,上汽集团,13.98,15.38,//price.16888.com/sr-128787.html,202104
3,4,汉,8177,比亚迪,16.58,25.98,/s/128436/,202104
4,5,小蚂蚁,5617,奇瑞新能源,5.99,7.69,//price.16888.com/sr-129112.html,202104
5,6,理想ONE,5539,理想,33.80,33.80,/s/128441/,202104
6,7,Model Y,5407,特斯拉中国,24.99,35.49,//price.16888.com/sr-127934.html,202104
7,8,欧拉黑猫,4613,长城新能源,8.48,9.98,/s/128626/,202104
8,9,哪吒U,4015,合众汽车,11.88,15.98,//price.16888.com/sr-128729.html,202104
9,10,蔚来ES6,3903,蔚来,33.80,39.60,/s/127723/,202104
10,11,宝马iX3,3552,华晨宝马,40.50,44.50,//price.16888.com/sr-128803.html,202104
11,12,启辰D60EV,3337,东风日产,12.98,17.88,/s/127961/,202104
12,13,小鹏P7,2995,小鹏汽车,20.99,33.99,//price.16888.com/sr-129066.html,202104
13,14,比亚迪e2,2973,比亚迪,8.98,14.78,/s/128065/,202104
14,15,宋新能源,2864,比亚迪,0.00,0.00,//price.16888.com/sr-128576.html,202104
15,16,零跑T03,2817,零跑汽车,4.99,6.99,/s/128100/,202104
16,17,蔚来EC6,2779,蔚来,35.80,41.60,//price.16888.com/sr-127767.html,202104
17,18,小鹏G3,2610,小鹏汽车,16.89,20.19,/s/128747/,202104
18,19,花仙子,2249,江汽集团,5.99,9.09,//price.16888.com/sr-128954.html,202104
19,20,威马EX5,2052,威马汽车,16.08,17.98,/s/128198/,202104
20,21,元新能源,1997,比亚迪,0.00,0.00,//price.16888.com/sr-127868.html,202104
21,22,欧拉白猫,1599,长城新能源,7.18,10.68,/s/128895/,202104
22,23,唐新能源,1508,比亚迪,17.98,26.98,//price.16888.com/sr-129086.html,202104
23,24,瑞驰新能源EC35,1494,瑞驰新能源,6.99,14.38,/s/128744/,202104
24,25,蔚来ES8,1473,蔚来,49.80,59.80,//price.16888.com/sr-128249.html,202104
